"운영차량","해당연월","배차위치","작업경로","운행거리(km)","작업거리(km)","미세먼지 제거량(kg)"
"A","2019-06","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1949","473","330.04"
"A","2019-07","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1658","767","351.28"
"A","2019-08","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1721","853","238.25"
"A","2019-09","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1239","636","152.68"
"A","2019-10","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1708","900","283.3"
"A","2019-11","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1826","950","292.59"
"A","2019-12","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1491","742","255.93"
"A","2020-01","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1654","780","390.41"
"A","2020-02","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1310","633","301.87"
"A","2020-03","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1674","842","337.18"
"A","2020-04","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1882","984","627.01"
"A","2020-05","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1604","813","459.54"
"A","2020-06","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1641","842","458.99"
"A","2020-07","동구, 중구","동구(세천 ~ 신흥삼거리 ~ 대동오거리 ~ 용전네거리), 중구(대전IC ~ 현암교 ~ 오룡역네거리)","1173","556","364.66"
"B","2019-06","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1527","500","428.58"
"B","2019-07","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1633","756","543.32"
"B","2019-08","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1776","807","529.85"
"B","2019-09","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1251","592","277.23"
"B","2019-10","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1738","869","348.89"
"B","2019-11","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1771","827","297.78"
"B","2019-12","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1612","773","370.37"
"B","2020-01","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1552","777","723.08"
"B","2020-02","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1420","712","458.08"
"B","2020-03","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1730","848","399.78"
"B","2020-04","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1893","884","524.86"
"B","2020-05","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1635","772","411.07"
"B","2020-06","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1639","777","385.48"
"B","2020-07","중구, 서구","중구(서대전네거리 ~ 유천네거리 ~ 관저동 ~ 진잠네거리), 서구(오룡역네거리 ~ 변동5거리 ~ 도솔네거리 ~ 도로교통공단, 충남대병원 ~ 오룡역네거리 ~ 수침교)","1198","523","197.05"
"C","2019-06","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1310","505","646.81"
"C","2019-07","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1456","822","470.42"
"C","2019-08","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1615","870","511.34"
"C","2019-09","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1100","617","271.99"
"C","2019-10","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1500","900","285.22"
"C","2019-11","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1700","985","324.31"
"C","2019-12","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1406","767","347.89"
"C","2020-01","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1379","762","342.1"
"C","2020-02","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1330","769","375.39"
"C","2020-03","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1702","1003","477.9"
"C","2020-04","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1821","1025","480.6"
"C","2020-05","서구, 유성구","서구(수침교 ~ 큰마을네거리 ~ 유성온천역 ~ 충남대 ~ 카이스트), 유성구(방죽네거리 ~ 연구단지네거리 ~ 신성네거리)","1547","853","357.24"
